objectid,originating_system_id,original_file_name,short_filename,sort_index,parentid,admin_notes,title,interviewer,interviewee,date,interview_date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,WORKSPACE1,WORKSPACE2,WORKSPACE3,object_location,image_small,image_thumb,image_alt_text,object_transcript
dg_1750784116,,2024_07_26_wall_kit_gdp,,,,.csv/Legacy,Kit Wall '77 Oral History Interview for the Georgia Dentel Project,Maya Albanese; Bowen Wei,Katherine 'Kit' Wall,1977,2024-07-26,"Wall describes her time as a Grinnell student, focusing on her experiance as a female student, the changes that occured following Title IX passing, and her role in the student government. ",concerts; music; Sex discrimination in higher education; College student government;,Georgia Dentel; Kit Wall; Maya Albanese,Virtual,,,,,Audio Recording,.mp3,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,https://digital-grinnell.nyc3.cdn.digitaloceanspaces.com/Georgia-Dentel/dg_1750784116.mp3,https://collectionbuilder.blob.core.windows.net/smalls/gc_media_SMALL.jpeg,https://collectionbuilder.blob.core.windows.net/thumbs/gc_media_TN.jpeg,,dg_1750784116.csv
dg_1752254537,,2024_07_15_senn_ed_gdp,,,,.csv/Legacy,Ed Senn '79 History Interview for the Georgia Dentel Project,Bowen Wei; Maya Albanese,Ed Senn,1979,2024-07-15,Senn describes his experiance as a student and alumni at Grinnell College with a focus on student culture and the role of community events on campus.,concerts; music; politics,Georgia Dentel; Ed Senn;,Virtual,,,,,Audio Recording,.mp3,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,https://digital-grinnell.nyc3.cdn.digitaloceanspaces.com/Georgia-Dentel/dg_1752254537.mp3,https://collectionbuilder.blob.core.windows.net/smalls/gc_media_SMALL.jpeg,https://collectionbuilder.blob.core.windows.net/thumbs/gc_media_TN.jpeg,,dg_1752254537.csv
dg_1752254642,,2024_07_25__miller_f_hudson_gdp,,,,.csv/Legacy,F Hudson Miller '80 Oral History Interview for the Georgia Dentel Project,Bowen Wei; Maya Albanese,F. Hudson Miller,1980,2024-07-25,"Miller describes his time as a student at Grinnell College and as an student employee running the film programming for Grinnell Students. He discribes his work with Georgia Dentel, the logistics of running film programming, and the perspecive that his student employment gave him.",film; concerts; Motion pictures--Film;,Georgia Dentel; F Hudson Miller;,Virtual,,,,,Audio Recording,.mp3,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,https://digital-grinnell.nyc3.cdn.digitaloceanspaces.com/Georgia-Dentel/dg_1752254642.mp3,https://collectionbuilder.blob.core.windows.net/smalls/gc_media_SMALL.jpeg,https://collectionbuilder.blob.core.windows.net/thumbs/gc_media_TN.jpeg,,dg_1752254642.csv
dg_1752254652,,2024_07_07_29_ricketts_althea_gdp,,,,.csv/Legacy,Althea Ricketts '86 Oral History Interview for the Georgia Dentel Project,Hayden Suarez-Davis; Jackie Harris,Althea Ricketts,1986,2024-07-29,Ricketts recalls her time working under Georgia Dentel as a student at Grinnell College. She mentions her experiance with Dentels attempted firing and the importance of having a female role model as an undergraduate.,concerts; music; feminism,Georgia Dentel; Althea Ricketts,Virtual,,,,,Audio Recording,.mp3,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,https://digital-grinnell.nyc3.cdn.digitaloceanspaces.com/Georgia-Dentel/dg_1752254652.mp3,https://collectionbuilder.blob.core.windows.net/smalls/gc_media_SMALL.jpeg,https://collectionbuilder.blob.core.windows.net/thumbs/gc_media_TN.jpeg,,dg_1752254652.csv
dg_1752254667,,2024_07_11_render_bob_gdp,,,,.csv/Legacy,Bob Render '77 Oral History Interview for the Georgia Dentel Project,Jackie Harris; Hayden Suarez-Davis,Bob Render,1977,2024-07-11,"Render discusses his close, personal relationships with Georgia Dentel and his experience as Social Coordinator.",concerts; music; Blues (Music);,Georgia Dentel; The Persuasions; Richard Turner; Bob Render,Virtual,,,,,Audio Recording,.mp3,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,https://digital-grinnell.nyc3.cdn.digitaloceanspaces.com/Georgia-Dentel/dg_1752254667.mp3,https://collectionbuilder.blob.core.windows.net/smalls/gc_media_SMALL.jpeg,https://collectionbuilder.blob.core.windows.net/thumbs/gc_media_TN.jpeg,,dg_1752254667.csv
dg_1751326421,,2025_06_25_kissane_james_gdp,,,,.csv,James Kissane '52 History Interview for the Georgia Dentel Project,Morgan Smith; Samora Lumonya,James Kissane,1952,2025-06-25,"Dr. James Kissane '52 is an alumnus of Grinnell College and former Professor in the Grinnell College English Department from 1956 into the early 2000s. This interview discusses his time on the Public Events Committee alongside Georgia Dentel, the impact of classical music and orchestras on campus culture, and reflections on college life in the late 1940s and early 1950s in relation to the GI Bill, gender, and academics.",veterans; orchestra; concerts; literature; women; classical music,Georgia Dentel; James Kissane; Morgan Smith; Sarah Purcell; Dennis Vigay; Mariedi Anders;,Virtual,,,,,Audio Recording,.mp3,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,https://digital-grinnell.nyc3.cdn.digitaloceanspaces.com/Georgia-Dentel/dg_1751326421.mp3,https://collectionbuilder.blob.core.windows.net/smalls/gc_media_SMALL.jpeg,https://collectionbuilder.blob.core.windows.net/thumbs/gc_media_TN.jpeg,,dg_1751326421.csv
dg_1752254695,,2025_06_25_peterson_john_gdp,,,,.csv,John Peterson '70 aka Captain Wa Wah History Interview for the Georgia Dentel Project,Miles Brown; Faye Henn,John Peterson aka Captain Wa Wah,1970,2025-06-25,"Peterson discusses his experience as a visiting musician at Grinnell and also a student interested in the music scene. He shares stories of his experience with Fusiaion Jazz and seing performances from Cecil Taylor, Herbie Hancock, and others.",concerts; music; jazz,Georgia Dentel; Cecil Taylor; Herbie Hancock; Pharoah Sanders,Virtual,,,,,Audio Recording,.mp3,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,https://digital-grinnell.nyc3.cdn.digitaloceanspaces.com/Georgia-Dentel/dg_1752254695.mp3,https://collectionbuilder.blob.core.windows.net/smalls/gc_media_SMALL.jpeg,https://collectionbuilder.blob.core.windows.net/thumbs/gc_media_TN.jpeg,,dg_1752254695.csv
dg_1753074528,,2025_07_17_dan_klatz_gdp,,,,.csv,Dan Klatz '84 Oral History Interview for the Georgia Dentel Project,Miles Brown; Morgan Smith,Dan Klatz,1984,2025-07-17,Klatz describes his experiece as Concerts Chair in the early 80s. He talks about booking the Shakin' Pyramids and conflicts Georgia Dentel had with the administration.,concerts; music; jazz; Rock music;,"Jim Tederman; Georgia Dentel, George Drake",Virtual,,,,,Audio Recording,.mp3,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,https://digital-grinnell.nyc3.cdn.digitaloceanspaces.com/Georgia-Dentel/dg_1753074528.mp3,https://collectionbuilder.blob.core.windows.net/smalls/gc_media_SMALL.jpeg,https://collectionbuilder.blob.core.windows.net/thumbs/gc_media_TN.jpeg,,dg_1753074528.csv
dg_1763646599,,2025_07_28_leif_larsen_gdp,,,,.csv,Leif Larsen '88 Oral History Interview for the Georgia Dentel Project,Faye Henn; Miles Brown,Leif Larsen,1988,2025-08-28,Larsen describes his experiance working with Dentel in his position as Concerts chair as well as a KDIC DJ. He also shares memorable concerts from his time as a student.,concerts; music; Radio; Punk rock music;,Georgia Dentel; Leif Larsen,Virtual,,,,,Audio Recording,.mp3,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,https://digital-grinnell.nyc3.cdn.digitaloceanspaces.com/Georgia-Dentel/dg_1763646599.mp3,https://collectionbuilder.blob.core.windows.net/smalls/gc_media_SMALL.jpeg,https://collectionbuilder.blob.core.windows.net/thumbs/gc_media_TN.jpeg,,dg_1763646599.csv
dg_1763646674,,2025_07_22_rob_killion_gdp,,,,.csv,Rob Killion '90 Oral History Interview for the Georgia Dentel Project,Morgan Smith; Miles Brown,Rob Killion,1990,2025-07-22,"Rob Killion is an alumnus of Grinnell College from 1990 and former SGA Vice President. This interview discusses his involvement with the removal of Georgia Dentel from student concerts bookings during his tenure on SGA, as well as other milestone events in Grinnell's history in his time. These include the same-sex kiss-in over Melanie Colley's petition to live off campus with her lesbian partner, a black student forum, and a few memorable bands.",concerts; music; College student government; Protest movements; Lesbians;,Georgia Dentel;,Virtual,,,,,Audio Recording,.mp3,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,https://digital-grinnell.nyc3.cdn.digitaloceanspaces.com/Georgia-Dentel/dg_1763646674.mp3,https://collectionbuilder.blob.core.windows.net/smalls/gc_media_SMALL.jpeg,https://collectionbuilder.blob.core.windows.net/thumbs/gc_media_TN.jpeg,,dg_1763646674.csv
