
Hayden Suarez-Davis,  00:01, All right‚ so are we good to go?  
Pat Irwin,  00:05, Sure.   
Hayden Suarez-Davis,  00:05, Perfect. Okay.  
Hayden Suarez-Davis,  00:08, So‚ the following interview was conducted with Pat Irwin on behalf of the Georgia Dental summer map for Grinnell concerts‚ Georgia Dental and student life in History and Memory Project. It took place on August 2‚ 2024 on WebEx. And the interviewer is myself‚ Hayden Suarez- Davis‚ so we have the legal release that's all signed and confirmed. So let's just get into let's get into the interview. So if you could start Pat by just introducing yourself‚ you know your name‚ your class‚ year‚ where do you live now? And what are you up to?  
Pat Irwin,  00:44, Hello. This is Pat Irwin. I'm Grinnell‚ class of 1977. I live in New York City‚ which is where I am at the moment‚ in a neighborhood called Long Island City. I'm looking at the 59th Street Bridge through the alley here. I'm a musician and composer‚ and I've been working in New York City since the late 70s.  
Hayden Suarez-Davis,  01:18, Perfect. Okay‚ so  
Hayden Suarez-Davis,  01:21, just going back to you know‚ your Grinnell experience‚ what did you dowhen you were at Grinnell? What did you study? And if you you know‚ is‚ was there a professor or a class that really stands out when you think about your time at Grinnell?  
Pat Irwin,  01:34, Well‚ I was an American Studies major. I particularly remember Professors‚ Alan Jones‚ Richard Cleaver‚ both stick out in my mind‚ and  
Pat Irwin,  01:51, I was very interested in oral history.  
Pat Irwin,  01:56, I believe I had a seminar with Professor Wall‚ Joe Wall as well‚ but I had an independent oral history project of my own when I was a Grinnell student. But most notably‚ I was concert chairman and worked with Georgia Dental.  
Hayden Suarez-Davis,  02:19, Right? And that's a perfect segue into this‚ into this next‚ next question. You know‚ if you could describe sort of your main extracurricular activities at Grinnell.  
Pat Irwin,  02:32, Well‚ one of my favorite activities was we had a choir‚ which we called the celestial‚ celestial sacred harp singers. And that was a group of friends that basically got together and sang hymns out of the it's known as the‚ traditional sacred harp hymnal. We did that on our own and gave concerts and performed at Herrick chapel and other places. If I remember correctly‚ that was my main extracurricular activity. I don't think I had too many others.  
Pat Irwin,  03:18, I don't recall.  
Hayden Suarez-Davis,  03:20, Of course‚ concerts chair‚ you know?  
Pat Irwin,  03:23, And of course‚ that was a fairly time consuming.  
Hayden Suarez-Davis,  03:28, Yeah‚ definitely can relate to that. How would you describe‚ sort of the general like‚ student atmosphere‚ student culture during your time at Grinnell?   
Pat Irwin,  03:38, Well‚ I treasure it. I mean‚ I lived off campus my senior year‚ and perhaps I was— went to Grinnell in London my junior year. Both of those experiences really were impactful. I mean‚ I lived it on High Street. I believe 809‚ High Street. And then my senior year‚ I lived on a farm in Malcolm‚  
Pat Irwin,  04:09, so that was way off campus.  
Pat Irwin,  04:13, And I just remember the wonderful‚ collegial atmosphere. Concerts‚ of course‚ were transformative events‚ mind blowing‚ mind expanding‚ thrilling experiences where we‚ you know‚ brought phenomenal music and musicians to the campus. Movies‚ of course. I just love the general liberal arts atmosphere‚ and— the access we had to our professors was remarkable. And really the access to each other living in the dorms‚ whether it was North or South Campus‚ and I‚ you know‚ formed friendships that I still have to this day.  
Hayden Suarez-Davis,  05:19, Right? And so you said you lived off campus your senior year‚ right? You lived on campus your senior year—  
Pat Irwin,  05:26, Both‚ both the second half of my junior year and senior year.  
Hayden Suarez-Davis,  05:30, Gotcha. And so when you lived on campus‚ you know‚ freshman and sophomore‚ where did you live?  
Pat Irwin,  05:36, I lived in Reed Hall‚  
Pat Irwin,  05:40, my first year‚ and Younker my second year.  
Hayden Suarez-Davis,  05:45, Perfect. Okay‚  
Hayden Suarez-Davis,  05:47, yeah. So now‚ if we could just now‚ let's move on to the main topic‚ Georgia. So could you just sort of tell me about your first interaction‚ your first impression with Georgia.  
